TankNumb,Culture,Temperature,SingleOrClump,RecruitID,Day,PropGrowth
20,SS,27C,s,65,28,-6.511426144
20,SS,27C,s,66,28,-6.11565182
20,SS,27C,s,67,28,4.85718002
20,SS,27C,s,68,28,-13.53256205
20,SS,27C,s,69,28,
20,SS,27C,c,70,28,-12.53045697
20,SS,27C,s,71,28,-25.10431029
20,SS,27C,s,72,28,
20,SS,27C,s,10,28,-6.991016781
20,SS,27C,s,17,28,6.230968028
20,SS,27C,s,18,28,
20,SS,27C,s,19,28,-5.202280886
20,SS,27C,s,20,28,-10.7785253
20,SS,27C,s,21,28,
20,SS,27C,s,22,28,-14.50769852
20,SS,27C,s,31,28,0.145736705
20,SS,27C,s,32,28,15.28044058
20,SS,27C,c,33,28,-1.465602208
20,SS,27C,s,34,28,-0.800917973
20,SS,27C,c,35,28,3.499392366
20,SS,27C,s,36,28,1.283492019
20,SS,27C,s,37,28,-18.58023317
20,SS,27C,s,53,28,2.171625754
20,SS,27C,c,54,28,10.12966519
20,SS,27C,c,55,28,2.012399831
20,SS,27C,c,56,28,1.487031664
20,SS,27C,s,57,28,-5.377419737
20,SS,27C,s,58,28,-2.523656758
20,SS,27C,s,59,28,-11.9897911
20,SS,27C,s,60,28,2.726514725
20,SS,27C,s,61,28,-23.11645238
20,SS,27C,c,62,28,-25.90342565
20,SS,27C,s,73,28,-15.24734716
20,SS,27C,s,75,28,-17.61116833
20,SS,27C,s,76,28,
20,SS,27C,s,77,28,9.216402196
20,SS,27C,s,78,28,6.881836582
20,SS,27C,s,79,28,-5.673407639
20,SS,27C,s,80,28,
20,SS,27C,s,81,28,2.223434589
20,SS,27C,s,82,28,
20,SS,27C,c,83,28,-10.6618972
20,SS,27C,s,84,28,-7.985263467
20,SS,27C,s,85,28,-0.228641574
20,SS,27C,s,86,28,0.599245934
20,SS,27C,s,87,28,-10.18883706
20,SS,27C,s,97,28,-3.78749323
20,SS,27C,s,98,28,
20,SS,27C,c,99,28,-26.2355785
20,SS,27C,s,101,28,-16.30266092
20,SS,27C,s,102,28,-16.24244469
20,SS,27C,s,103,28,-1.839677907
20,SS,27C,s,104,28,
20,SS,27C,s,105,28,
20,SS,27C,s,106,28,
20,SS,27C,s,107,28,-2.27609392
20,SS,27C,s,117,28,-11.80378909
20,SS,27C,s,119,28,-20.27170878
20,SS,27C,s,120,28,
20,SS,27C,s,121,28,-9.093089443
20,SS,27C,s,122,28,1.935729462
20,SS,27C,s,123,28,
20,SS,27C,s,124,28,-9.985035975
20,SS,27C,s,125,28,
20,SS,27C,s,118,28,
20,SS,27C,s,88,28,-10.44849923
20,SS,27C,s,89,28,
20,SS,27C,s,90,28,-19.30403588
20,SS,27C,s,91,28,-7.075038721
20,SS,27C,c,92,28,-3.950260997
20,SS,27C,s,93,28,-21.7495099
20,SS,27C,s,94,28,-21.73832029
20,SS,27C,s,96,28,-1.933182221
20,SS,27C,s,108,28,7.092119987
20,SS,27C,s,109,28,4.759842953
20,SS,27C,s,110,28,23.37757833
20,SS,27C,s,111,28,
20,SS,27C,s,112,28,-15.24404755
20,SS,27C,s,113,28,-9.615133107
20,SS,27C,s,114,28,-17.27647562
20,SS,27C,c,115,28,-0.019330648
20,SS,27C,s,116,28,-21.82549381
35,SS,27C,s,1,28,-6.588365932
35,SS,27C,c,2,28,28.84908572
35,SS,27C,s,3,28,
35,SS,27C,s,4,28,17.62049927
35,SS,27C,s,5,28,-3.027044589
35,SS,27C,s,6,28,12.9356039
35,SS,27C,s,7,28,5.267578081
35,SS,27C,s,8,28,
35,SS,27C,s,9,28,20.69863268
35,SS,27C,s,10,28,28.30960405
35,SS,27C,c,11,28,22.34377325
35,SS,27C,c,12,28,20.21346516
35,SS,27C,s,13,28,34.10462709
35,SS,27C,s,14,28,33.17442434
35,SS,27C,s,15,28,29.89277585
35,SS,27C,c,16,28,13.29521025
35,SS,27C,s,23,28,18.08660482
35,SS,27C,s,24,28,-6.235879623
35,SS,27C,s,25,28,-4.619486273
35,SS,27C,s,26,28,-2.631469653
35,SS,27C,s,27,28,
35,SS,27C,s,28,28,3.346515849
35,SS,27C,s,29,28,18.85414739
35,SS,27C,s,30,28,0.20207859
35,SS,27C,s,31,28,23.95383571
35,SS,27C,s,32,28,-2.329251149
35,SS,27C,s,33,28,18.412119
35,SS,27C,c,34,28,9.057182064
35,SS,27C,s,42,28,12.21086875
35,SS,27C,s,43,28,-10.02625831
35,SS,27C,s,44,28,0.500232313
35,SS,27C,s,45,28,
35,SS,27C,s,46,28,10.55967868
35,SS,27C,s,47,28,-54.95762536
35,SS,27C,s,48,28,-1.098289798
35,SS,27C,s,49,28,-2.988441501
35,SS,27C,0,0,28,
35,SS,27C,c,50,28,4.110667137
35,SS,27C,s,51,28,-7.918083544
35,SS,27C,c,52,28,-6.697211585
35,SS,27C,s,53,28,13.06949737
35,SS,27C,s,71,28,-10.90093887
35,SS,27C,s,72,28,10.51817452
35,SS,27C,s,73,28,6.603456613
35,SS,27C,s,74,28,4.873654003
35,SS,27C,c,75,28,1.03703673
35,SS,27C,s,76,28,-2.795773658
35,SS,27C,s,77,28,5.256741605
35,SS,27C,s,78,28,-6.996582985
35,SS,27C,s,79,28,-12.32050408
35,SS,27C,s,80,28,25.64772161
35,SS,27C,s,81,28,20.76040132
35,SS,27C,s,82,28,12.2808389
35,SS,27C,s,83,28,
35,SS,27C,s,84,28,-10.73238086
35,SS,27C,s,85,28,5.147405207
35,SS,27C,s,86,28,11.5031838
35,SS,27C,s,87,28,
35,SS,27C,s,88,28,12.75788663
35,SS,27C,s,17,28,34.47502615
35,SS,27C,s,18,28,
35,SS,27C,s,19,28,17.61120762
35,SS,27C,s,20,28,14.71216458
35,SS,27C,s,21,28,24.88548821
35,SS,27C,c,22,28,-67.54685424
35,SS,27C,s,35,28,-5.447528393
35,SS,27C,s,36,28,-19.1718093
35,SS,27C,s,37,28,-6.71099795
35,SS,27C,s,38,28,
35,SS,27C,s,39,28,18.15677585
35,SS,27C,s,40,28,
35,SS,27C,s,41,28,
35,SS,27C,c,54,28,17.97900828
35,SS,27C,c,55,28,10.06961605
35,SS,27C,s,56,28,17.26680241
35,SS,27C,c,57,28,4.519873647
35,SS,27C,s,58,28,10.85875449
35,SS,27C,c,59,28,5.425478886
35,SS,27C,s,60,28,16.17198604
35,SS,27C,c,61,28,8.958049214
35,SS,27C,s,62,28,
35,SS,27C,s,63,28,-6.619507712
35,SS,27C,s,64,28,-6.14621025
35,SS,27C,s,65,28,
35,SS,27C,s,66,28,4.439086257
35,SS,27C,s,67,28,5.490520356
35,SS,27C,s,68,28,25.14792652
35,SS,27C,s,69,28,2.067999383
35,SS,27C,s,70,28,19.45801683
35,SS,27C,s,89,28,49.9919983
35,SS,27C,s,90,28,5.609052533
35,SS,27C,s,91,28,-4.687914049
35,SS,27C,c,92,28,1.983255263
35,SS,27C,s,94,28,19.29665499
35,SS,27C,c,95,28,-8.223280185
35,SS,27C,s,96,28,-10.68452979
35,SS,27C,s,97,28,-8.411981983
35,SS,27C,c,98,28,-15.45276971
35,SS,27C,c,99,28,-12.34353944
35,SS,27C,s,100,28,-17.36618939
35,SS,27C,c,101,28,-16.76308946
35,SS,27C,s,102,28,
35,SS,27C,s,103,28,-0.510966048
35,SS,27C,s,112,28,6.948104576
35,SS,27C,c,113,28,-4.037786242
35,SS,27C,s,114,28,-23.47483452
35,SS,27C,s,115,28,-7.735792328
35,SS,27C,s,116,28,-8.227341966
35,SS,27C,c,117,28,-9.4368321
35,SS,27C,s,124,28,8.255012624
35,SS,27C,s,125,28,
35,SS,27C,s,126,28,-12.34733689
35,SS,27C,s,104,28,-12.94853321
35,SS,27C,s,105,28,-19.42140567
35,SS,27C,s,106,28,-20.420534
35,SS,27C,s,107,28,-20.8481778
35,SS,27C,s,108,28,-20.87489581
35,SS,27C,s,109,28,2.80734018
35,SS,27C,s,110,28,
35,SS,27C,s,111,28,7.497005748
35,SS,27C,s,118,28,
35,SS,27C,s,119,28,4.645636638
35,SS,27C,c,120,28,-7.546531845
35,SS,27C,s,121,28,7.264408881
35,SS,27C,s,122,28,-21.38907887
35,SS,27C,s,123,28,23.47169478
3,WT,27C,s,26,28,9.691288007
3,WT,27C,c,27,28,-2.096946906
3,WT,27C,s,28,28,-10.4185665
3,WT,27C,c,29,28,13.86626748
3,WT,27C,s,30,28,-16.69954965
3,WT,27C,s,31,28,-0.565447583
3,WT,27C,s,41,28,-15.37941481
3,WT,27C,c,39,28,-0.365334786
3,WT,27C,s,40,28,-5.362189601
3,WT,27C,s,42,28,-1.314715043
3,WT,27C,s,43,28,
3,WT,27C,s,44,28,-0.026381785
3,WT,27C,s,45,28,
3,WT,27C,s,46,28,12.33219213
3,WT,27C,s,47,28,14.91605273
3,WT,27C,s,55,28,23.89165159
3,WT,27C,s,53,28,-5.350160712
3,WT,27C,s,54,28,
3,WT,27C,s,56,28,7.840107104
3,WT,27C,s,57,28,15.20886682
3,WT,27C,s,58,28,37.87040014
3,WT,27C,s,58a,28,16.93968181
3,WT,27C,s,59,28,
3,WT,27C,s,60,28,6.994231771
3,WT,27C,s,61,28,26.41045654
3,WT,27C,s,62,28,66.80563505
3,WT,27C,c,63,28,16.37145658
3,WT,27C,s,64,28,16.02657668
3,WT,27C,s,65,28,
3,WT,27C,s,66,28,10.60192407
3,WT,27C,s,1,28,
3,WT,27C,s,2,28,14.642496
3,WT,27C,c,3,28,4.100866777
3,WT,27C,c,4,28,-1.57899126
3,WT,27C,s,5,28,-12.83364482
3,WT,27C,s,86,28,-36.8797413
3,WT,27C,s,6,28,-7.041782469
3,WT,27C,s,7,28,-19.91229708
3,WT,27C,s,8,28,30.29437769
3,WT,27C,c,9,28,8.27442888
3,WT,27C,s,10,28,-16.98612166
3,WT,27C,s,11,28,-14.39514018
3,WT,27C,s,12,28,11.25097531
3,WT,27C,s,13,28,14.8218195
3,WT,27C,c,24,28,5.850384633
3,WT,27C,s,25,28,13.78683317
3,WT,27C,s,18,28,14.37431275
3,WT,27C,s,17,28,12.31732001
3,WT,27C,c,16,28,4.380741656
3,WT,27C,c,14,28,-5.147288801
3,WT,27C,s,15,28,14.08888972
3,WT,27C,c,19,28,-44.32769549
3,WT,27C,s,20,28,119.0176576
3,WT,27C,s,21,28,-54.29681596
3,WT,27C,s,22,28,66.49031804
3,WT,27C,s,23,28,
3,WT,27C,s,32,28,-3.587864713
3,WT,27C,s,33,28,-23.77883895
3,WT,27C,s,34,28,-0.7691086
3,WT,27C,c,37,28,-3.62713169
3,WT,27C,s,35,28,-0.165314022
3,WT,27C,s,36,28,22.88769425
3,WT,27C,s,38,28,
3,WT,27C,s,48,28,16.26270544
3,WT,27C,s,49,28,12.62184384
3,WT,27C,s,50,28,10.50406556
3,WT,27C,s,51,28,11.99597911
3,WT,27C,s,52,28,27.90827824
3,WT,27C,s,67,28,
3,WT,27C,s,70,28,
3,WT,27C,s,69,28,19.05034152
3,WT,27C,s,68,28,11.45845634
3,WT,27C,s,71,28,
3,WT,27C,s,72,28,4.285224921
3,WT,27C,c,73,28,15.73149796
3,WT,27C,s,74,28,5.830338036
3,WT,27C,c,75,28,2.40932067
3,WT,27C,s,76,28,3.32487148
3,WT,27C,s,77,28,17.29347871
3,WT,27C,s,78,28,12.24652978
3,WT,27C,s,82,28,19.12505412
3,WT,27C,s,83,28,
3,WT,27C,s,83a,28,-10.04773653
3,WT,27C,s,84,28,17.84138697
3,WT,27C,c,85,28,-17.64898903
3,WT,27C,s,79,28,-31.68945601
3,WT,27C,s,80,28,
3,WT,27C,s,81,28,-8.752315313
16,WT,27C,s,1,28,11.30137149
16,WT,27C,s,2,28,
16,WT,27C,s,3,28,23.71289235
16,WT,27C,c,4,28,7.23475305
16,WT,27C,s,5,28,13.51642714
16,WT,27C,s,6,28,13.64050641
16,WT,27C,c,22,28,0.86340638
16,WT,27C,s,23,28,9.298924607
16,WT,27C,s,24,28,8.231107127
16,WT,27C,s,25,28,-10.36389176
16,WT,27C,s,26,28,15.55974143
16,WT,27C,c,27,28,11.91408211
16,WT,27C,s,28,28,-8.661572739
16,WT,27C,c,29,28,14.32664265
16,WT,27C,c,30,28,7.557384991
16,WT,27C,s,31,28,14.69050262
16,WT,27C,s,32,28,23.17650412
16,WT,27C,c,33,28,10.61441806
16,WT,27C,c,34,28,-6.183752827
16,WT,27C,s,41,28,-6.068571334
16,WT,27C,s,42,28,11.10158378
16,WT,27C,c,43,28,10.27372573
16,WT,27C,c,35,28,14.48656107
16,WT,27C,s,44,28,16.20036394
16,WT,27C,s,45,28,28.44241476
16,WT,27C,s,46,28,21.35383809
16,WT,27C,s,47,28,27.71444343
16,WT,27C,s,48,28,20.4892494
16,WT,27C,s,49,28,4.118635747
16,WT,27C,s,50,28,11.42859128
16,WT,27C,s,51,28,22.22936577
16,WT,27C,s,52,28,8.412693489
16,WT,27C,s,53,28,3.648767864
16,WT,27C,s,55,28,9.059756336
16,WT,27C,s,54,28,15.13949208
16,WT,27C,s,56,28,8.244940595
16,WT,27C,s,57,28,36.73237762
16,WT,27C,s,58,28,4.962439317
16,WT,27C,s,61,28,-11.66037057
16,WT,27C,s,62,28,26.79997943
16,WT,27C,s,63,28,
