Obs,Tank,Culture,Temperature,Treatment,SingleOrClump,Time,CellNumbers,CellsPerPolyp,CellsPerMM2,PropCellsPerMM2,log10PropCellsPerMM2Translate
109,9,Wt,31,Wt_31C,s,0,19689,9844,15888,0,0
111,16,Wt,27,Wt_27C,s,0,24629,12314,29613,0,0
112,22,Wt,27,Wt_27C,s,0,99067,19813,49281,0,0
113,12,31mix,27,31mix_27C,s,0,23029,5757,12442,0,0
114,19,31mix,31,31mix_31C,s,0,9378,4689,12040,0,0
115,20,31mix,27,31mix_27C,s,0,9511,3170,5932,0,0
116,27,31mix,32.5,31mix_32.5C,s,0,22178,7393,19325,0,0
117,10,Wt,32.5,Wt_32.5C,s,0,19867,19867,28161,0,0
119,18,Wt,31,Wt_31C,s,0,19156,19156,38008,0,0
120,29,Wt,31,Wt_31C,s,0,1778,1778,3345,0,0
121,24,Wt,32.5,Wt_32.5C,s,0,18978,6326,12907,0,0
122,28,Wt,32.5,Wt_32.5C,s,0,24114,12057,27197,0,0
123,30,31mix,32.5,31mix_32.5C,s,0,23486,11743,42249,0,0
124,31,31mix,31,31mix_31C,s,0,28533,14267,16468,0,0
125,33,31mix,32.5,31mix_32.5C,s,0,3689,3689,9749,0,0
126,34,31mix,31,31mix_31C,s,0,7333,2444,7699,0,0
127,3,Wt,27,Wt_27C,s,70,33600,11200,25055,-36.97,1.80
128,9,Wt,31,Wt_31C,s,70,40300,6717,,,2.00
129,12,31mix,27,31mix_27C,s,70,16222,5407,15867,-6.29,1.97
131,18,Wt,31,Wt_31C,s,70,11422,2856,5849,-77.23,1.36
132,19,31mix,31,31mix_31C,s,70,29200,5840,9672,-53.33,1.67
134,22,Wt,27,Wt_27C,s,70,45700,11425,19317,-51.41,1.69
135,29,Wt,31,Wt_31C,s,70,51333,6417,8785,-65.8,1.54
136,35,31mix,27,31mix_27C,s,70,19156,9578,17072,0.83,2.00
137,31,31mix,31,31mix_31C,s,70,30800,30800,,,2.00
138,34,31mix,31,31mix_31C,s,70,8089,4044,10784,-47.96,1.72
139,3,Wt,27,Wt_27C,s,70,64933,10822,,,2.00
140,9,Wt,31,Wt_31C,s,70,10533,2633,5279,-79.45,1.31
141,12,31mix,27,31mix_27C,s,70,30133,15067,30476,79.99,2.26
142,16,Wt,27,Wt_27C,s,70,41200,10300,,,2.00
144,19,31mix,31,31mix_31C,s,70,17911,4478,10013,-51.69,1.68
147,29,Wt,31,Wt_31C,s,70,56700,9450,12335,-51.97,1.68
149,31,31mix,31,31mix_31C,s,70,12222,12222,,,2.00
151,3,Wt,27,Wt_27C,s,70,26133,5227,14789,-62.8,1.57
152,9,Wt,31,Wt_31C,s,70,59600,11920,19011,-25.98,1.87
154,16,Wt,27,Wt_27C,s,70,31000,10333,12788,-67.83,1.51
155,18,Wt,31,Wt_31C,s,70,38400,7680,12787,-50.22,1.70
156,19,31mix,31,31mix_31C,s,70,43360,7227,12288,-40.71,1.77
157,20,31mix,27,31mix_27C,s,70,136800,22800,35500,109.66,2.32
158,22,Wt,27,Wt_27C,s,70,66133,13227,24123,-39.32,1.78
161,31,31mix,31,31mix_31C,s,70,7244,7244,,,2.00
162,34,31mix,31,31mix_31C,s,70,17067,4267,10326,-50.18,1.70
163,3,Wt,27,Wt_27C,s,70,38600,12867,14853,-62.64,1.57
164,9,Wt,31,Wt_31C,s,70,5067,2533,5008,-80.5,1.29
165,12,31mix,27,31mix_27C,s,70,60933,15233,36326,114.53,2.33
166,16,Wt,27,Wt_27C,s,70,96667,19333,24399,-38.63,1.79
167,18,Wt,31,Wt_31C,s,70,14089,2818,5101,-80.14,1.30
168,19,31mix,31,31mix_31C,s,70,3200,3200,3878,-81.29,1.27
169,20,31mix,27,31mix_27C,s,70,97600,16267,25833,52.56,2.18
171,29,Wt,31,Wt_31C,s,70,19733,3289,7490,-70.84,1.47
172,35,31mix,27,31mix_27C,s,70,59467,14867,20458,20.82,2.08
173,31,31mix,31,31mix_31C,s,70,3733,622,1884,-90.91,0.96
175,3,Wt,27,Wt_27C,s,70,25800,5160,13358,-66.4,1.53
176,9,Wt,31,Wt_31C,s,70,26267,4378,47938,86.64,2.27
177,12,31mix,27,31mix_27C,s,70,66133,11022,18666,10.24,2.04
179,18,Wt,31,Wt_31C,s,70,28067,7017,12277,-52.2,1.68
180,19,31mix,31,31mix_31C,s,70,6089,6089,5321,-74.32,1.41
182,22,Wt,27,Wt_27C,s,70,50800,10160,21006,-47.16,1.72
185,35,31mix,27,31mix_27C,s,70,84400,14067,23417,38.3,2.14
186,31,31mix,31,31mix_31C,s,70,9422,9422,,,2.00
187,34,31mix,31,31mix_31C,s,70,5778,1444,2637,-87.28,1.11
188,3,Wt,27,Wt_27C,s,70,13067,4356,7858,-80.23,1.30
191,16,Wt,27,Wt_27C,s,70,157000,26167,78889,98.44,2.30
192,18,Wt,31,Wt_31C,s,70,12044,2007,2816,-89.04,1.04
193,19,31mix,31,31mix_31C,s,70,20267,4053,12213,-41.07,1.77
194,20,31mix,27,31mix_27C,s,70,98000,14000,18637,10.07,2.04
196,29,Wt,31,Wt_31C,s,70,22978,4596,10483,-59.19,1.61
198,31,31mix,31,31mix_31C,s,70,12222,12222,,,2.00
199,34,31mix,31,31mix_31C,s,70,9067,2267,5789,-72.06,1.45
200,3,Wt,27,Wt_27C,s,70,20711,6904,12443,-68.7,1.50
201,9,Wt,31,Wt_31C,s,70,27667,3458,7495,-70.82,1.47
203,16,Wt,27,Wt_27C,s,70,100400,16733,20167,-49.27,1.71
204,18,Wt,31,Wt_31C,s,70,19244,4811,7882,-69.31,1.49
205,19,31mix,31,31mix_31C,s,70,3067,1533,3084,-85.12,1.17
206,20,31mix,27,31mix_27C,s,70,50933,8489,17532,3.54,2.02
207,22,Wt,27,Wt_27C,s,70,39120,13040,18915,-52.42,1.68
208,29,Wt,31,Wt_31C,s,70,7911,7911,8680,-66.21,1.53
211,34,31mix,31,31mix_31C,s,70,6222,3111,5798,-72.02,1.45
213,22,Wt,27,Wt_27C,s,28,151800,75900,145507,266.02,2.56
214,16,Wt,27,Wt_27C,s,28,96800,13829,29397,-26.05,1.87
215,12,31mix,27,31mix_27C,s,28,34560,17280,26698,57.67,2.20
217,20,31mix,27,31mix_27C,s,28,64933,9276,24363,43.88,2.16
218,30,31mix,32.5,31mix_32.5C,s,28,10800,2700,7427,-62.65,1.57
221,3,Wt,27,Wt_27C,s,28,110400,18400,33852,-14.85,1.93
222,22,Wt,27,Wt_27C,s,28,162000,27000,41286,3.85,2.02
223,16,Wt,27,Wt_27C,s,28,52267,10453,21468,-46,1.73
224,12,31mix,27,31mix_27C,s,28,17511,8756,21862,29.11,2.11
225,35,31mix,27,31mix_27C,s,28,51400,17133,36963,118.3,2.34
226,20,31mix,27,31mix_27C,s,28,39500,13167,32651,92.83,2.29
228,27,31mix,32.5,31mix_32.5C,s,28,2622,656,1991,-89.99,1.00
229,33,31mix,32.5,31mix_32.5C,s,28,5867,1173,4329,-78.23,1.34
