TankNumb,Culture,Temperature,SingleOrClump,RecruitID,RecruitID2,Day,Area,Polyps
20,31mix,27C,s,1,20_1,0,1.137917,2
20,31mix,27C,s,2,20_2,0,1.412282,3
20,31mix,27C,c,3,20_3,0,1.816862,5
20,31mix,27C,s,4,20_4,0,2.111858,3
20,31mix,27C,s,5,20_5,0,1.609213,3
20,31mix,27C,s,6,20_6,0,2.251452,4
20,31mix,27C,s,7,20_7,0,1.675125,3
20,31mix,27C,c,8,20_8,0,2.301555,6
20,31mix,27C,s,9,20_9,0,1.017078,1
20,31mix,27C,s,11,20_11,0,1.936361,4
20,31mix,27C,s,12,20_12,0,1.861607,4
20,31mix,27C,s,13,20_13,0,0.704935,3
20,31mix,27C,s,14,20_14,0,2.281996,6
20,31mix,27C,s,14a,20_14a,0,0.728781,1
20,31mix,27C,s,14b,20_14b,0,1.562861,3
20,31mix,27C,s,15,20_15,0,1.788193,4
20,31mix,27C,s,16,20_16,0,1.149706,3
20,31mix,27C,c,23,20_23,0,6.833664,10
20,31mix,27C,s,24,20_24,0,1.125592,3
20,31mix,27C,s,25,20_25,0,1.284209,5
20,31mix,27C,c,26,20_26,0,6.77311,10
20,31mix,27C,s,27,20_27,0,1.619931,3
20,31mix,27C,s,28,20_28,0,2.148029,4
20,31mix,27C,s,29,20_29,0,1.5007,5
20,31mix,27C,s,30,20_30,0,1.55777,3
20,31mix,27C,s,38,20_38,0,1.130951,1
20,31mix,27C,s,39,20_39,0,1.585903,3
20,31mix,27C,s,40,20_40,0,0.981711,1
20,31mix,27C,s,41,20_41,0,1.94172,4
20,31mix,27C,s,42,20_42,0,2.069256,4
20,31mix,27C,s,43,20_43,0,3.458228,5
20,31mix,27C,s,44,20_44,0,1.666551,3
20,31mix,27C,s,45,20_45,0,1.213474,3
20,31mix,27C,s,46,20_46,0,0.905886,1
20,31mix,27C,s,47,20_47,0,1.173552,4
20,31mix,27C,s,48,20_48,0,2.478392,4
20,31mix,27C,s,49,20_49,0,1.762204,3
20,31mix,27C,c,50,20_50,0,3.283802,6
20,31mix,27C,s,51,20_51,0,1.970389,4
20,31mix,27C,s,52,20_52,0,1.39433,3
20,31mix,27C,c,63,20_63,0,1.832938,4
20,31mix,27C,c,64,20_64,0,3.214139,5
20,31mix,27C,s,65,20_65,0,2.164641,5
20,31mix,27C,s,66,20_66,0,1.618323,2
20,31mix,27C,s,67,20_67,0,1.506862,3
20,31mix,27C,s,68,20_68,0,1.906084,4
20,31mix,27C,s,69,20_69,0,1.393526,4
20,31mix,27C,c,70,20_70,0,2.124719,5
20,31mix,27C,s,71,20_71,0,0.995108,1
20,31mix,27C,s,72,20_72,0,0.376984,1
20,31mix,27C,s,10,20_10,0,0.961348,3
20,31mix,27C,s,17,20_17,0,2.508936,7
20,31mix,27C,s,18,20_18,0,1.93261,3
20,31mix,27C,s,19,20_19,0,1.276171,3
20,31mix,27C,s,20,20_20,0,0.830596,2
20,31mix,27C,s,21,20_21,0,0.753699,1
20,31mix,27C,s,22,20_22,0,0.683768,2
20,31mix,27C,s,31,20_31,0,2.116145,5
20,31mix,27C,s,32,20_32,0,1.448453,3
20,31mix,27C,c,33,20_33,0,3.025514,8
20,31mix,27C,s,34,20_34,0,1.169533,4
20,31mix,27C,c,35,20_35,0,2.660319,5
20,31mix,27C,s,36,20_36,0,1.147027,3
20,31mix,27C,s,37,20_37,0,0.862212,3
20,31mix,27C,s,53,20_53,0,2.443561,5
20,31mix,27C,c,54,20_54,0,2.847873,7
20,31mix,27C,c,55,20_55,0,6.092825,11
20,31mix,27C,c,56,20_56,0,3.542359,8
20,31mix,27C,s,57,20_57,0,2.11025,3
20,31mix,27C,s,58,20_58,0,1.238124,2
20,31mix,27C,s,59,20_59,0,1.217761,3
20,31mix,27C,s,60,20_60,0,1.485963,3
20,31mix,27C,s,61,20_61,0,0.988945,2
20,31mix,27C,c,62,20_62,0,2.437666,5
20,31mix,27C,s,73,20_73,0,0.883111,2
20,31mix,27C,s,75,20_75,0,0.963224,2
20,31mix,27C,s,76,20_76,0,0.928928,3
20,31mix,27C,s,77,20_77,0,1.939911,3
20,31mix,27C,s,78,20_78,0,1.084972,2
20,31mix,27C,s,79,20_79,0,1.766857,4
20,31mix,27C,s,80,20_80,0,0.804321,2
20,31mix,27C,s,81,20_81,0,0.680029,2
20,31mix,27C,s,82,20_82,0,0.829233,1
20,31mix,27C,c,83,20_83,0,4.198371,12
20,31mix,27C,s,84,20_84,0,0.941334,2
20,31mix,27C,s,85,20_85,0,0.705471,1
20,31mix,27C,s,86,20_86,0,1.976484,4
20,31mix,27C,s,87,20_87,0,1.482495,4
20,31mix,27C,s,97,20_97,0,1.408821,4
20,31mix,27C,s,98,20_98,0,1.093718,1
20,31mix,27C,c,99,20_99,0,1.064036,2
20,31mix,27C,s,101,20_101,0,1.318981,3
20,31mix,27C,s,102,20_102,0,1.078877,4
20,31mix,27C,s,103,20_103,0,0.704145,3
20,31mix,27C,s,104,20_104,0,0.773049,2
20,31mix,27C,s,105,20_105,0,0.863685,2
20,31mix,27C,s,106,20_106,0,1.665356,4
20,31mix,27C,s,107,20_107,0,1.134795,2
20,31mix,27C,s,117,20_117,0,1.895654,5
20,31mix,27C,s,119,20_119,0,0.60874,1
20,31mix,27C,s,120,20_120,0,0.338424,1
20,31mix,27C,s,121,20_121,0,1.405111,3
20,31mix,27C,s,122,20_122,0,1.111209,3
20,31mix,27C,s,123,20_123,0,0.949815,2
20,31mix,27C,s,124,20_124,0,1.282409,3
20,31mix,27C,s,125,20_125,0,1.603342,3
20,31mix,27C,s,118,20_118,0,0.476232,1
20,31mix,27C,s,88,20_88,0,1.276078,3
20,31mix,27C,s,89,20_89,0,0.888225,2
20,31mix,27C,s,90,20_90,0,0.679604,1
20,31mix,27C,s,91,20_91,0,0.843218,2
20,31mix,27C,c,92,20_92,0,4.776292,11
20,31mix,27C,s,93,20_93,0,2.068465,1
20,31mix,27C,s,94,20_94,0,0.692312,2
20,31mix,27C,s,96,20_96,0,1.092344,2
20,31mix,27C,s,108,20_108,0,1.389655,3
20,31mix,27C,s,109,20_109,0,1.36265,3
20,31mix,27C,s,110,20_110,0,1.003654,2
20,31mix,27C,s,111,20_111,0,0.609447,1
20,31mix,27C,s,112,20_112,0,1.248015,3
20,31mix,27C,s,113,20_113,0,2.829082,10
20,31mix,27C,s,114,20_114,0,0.872869,1
20,31mix,27C,c,115,20_115,0,1.877847,4
20,31mix,27C,s,116,20_116,0,0.818332,3
35,31mix,27C,s,1,35_1,0,0.922171,2
35,31mix,27C,c,2,35_2,0,10.488835,21
35,31mix,27C,s,3,35_3,0,1.451458,4
35,31mix,27C,s,4,35_4,0,1.268182,5
35,31mix,27C,s,5,35_5,0,1.90833,4
35,31mix,27C,s,6,35_6,0,0.535607,1
35,31mix,27C,s,7,35_7,0,0.983526,2
35,31mix,27C,s,8,35_8,0,0.93244,2
35,31mix,27C,s,9,35_9,0,0.80815,1
35,31mix,27C,s,10,35_10,0,1.828542,4
35,31mix,27C,c,11,35_11,0,2.661708,7
35,31mix,27C,c,12,35_12,0,2.734123,5
35,31mix,27C,s,13,35_13,0,2.523725,4
35,31mix,27C,s,14,35_14,0,0.713616,2
35,31mix,27C,s,15,35_15,0,1.548625,3
35,31mix,27C,c,16,35_16,0,4.271952,9
35,31mix,27C,s,23,35_23,0,1.077007,3
35,31mix,27C,s,24,35_24,0,1.058311,2
35,31mix,27C,s,25,35_25,0,1.438818,3
35,31mix,27C,s,26,35_26,0,1.155742,2
35,31mix,27C,s,27,35_27,0,0.759698,2
35,31mix,27C,s,28,35_28,0,1.081483,1
35,31mix,27C,s,29,35_29,0,2.670134,5
35,31mix,27C,s,30,35_30,0,1.266339,3
35,31mix,27C,s,31,35_31,0,1.240006,4
35,31mix,27C,s,32,35_32,0,0.847912,2
35,31mix,27C,s,33,35_33,0,1.228946,4
35,31mix,27C,c,34,35_34,0,1.472787,4
35,31mix,27C,s,42,35_42,0,0.898208,2
35,31mix,27C,s,43,35_43,0,1.349287,3
35,31mix,27C,s,44,35_44,0,0.856602,2
35,31mix,27C,s,45,35_45,0,0.26122,1
35,31mix,27C,s,46,35_46,0,1.342967,3
35,31mix,27C,s,47,35_47,0,1.228683,2
35,31mix,27C,s,48,35_48,0,0.539293,2
35,31mix,27C,s,49,35_49,0,0.747848,2
35,31mix,27C,0,0,35_0,0,0,0
35,31mix,27C,c,50,35_50,0,2.240123,4
35,31mix,27C,s,51,35_51,0,0.959563,1
35,31mix,27C,c,52,35_52,0,2.440777,5
35,31mix,27C,s,53,35_53,0,1.09702,2
35,31mix,27C,s,71,35_71,0,1.217097,3
35,31mix,27C,s,72,35_72,0,0.589589,2
35,31mix,27C,s,73,35_73,0,1.61314,3
35,31mix,27C,s,74,35_74,0,1.134939,2
35,31mix,27C,c,75,35_75,0,4.830205,8
35,31mix,27C,s,76,35_76,0,0.917957,4
35,31mix,27C,s,77,35_77,0,1.981798,4
35,31mix,27C,s,78,35_78,0,1.645003,4
35,31mix,27C,s,79,35_79,0,1.275029,5
35,31mix,27C,s,80,35_80,0,1.036981,3
35,31mix,27C,s,81,35_81,0,0.899525,2
35,31mix,27C,s,82,35_82,0,1.151265,2
35,31mix,27C,s,83,35_83,0,1.10413,2
35,31mix,27C,s,84,35_84,0,1.137045,4
35,31mix,27C,s,85,35_85,0,1.522029,3
35,31mix,27C,s,86,35_86,0,1.991014,4
35,31mix,27C,s,87,35_87,0,1.320058,4
35,31mix,27C,s,88,35_88,0,0.93481,2
35,31mix,27C,s,17,35_17,0,2.021034,5
