TankNumb,Culture,Temperature,SingleOrClump,RecruitID,RecruitID2,Day,Area,Polyps,PropGrowthArea,PropGrowthPolyps,Log10PropGrowthPolypsTranslate
3,WT,27C,c,63,3_63,22,5.019955,9,,,
3,WT,27C,missedt28,65,3_65,22,,,,,
3,WT,27C,s,1,3_1,22,,,,,
3,WT,27C,s,2,3_2,22,1.694267,3,,,
3,WT,27C,c,3,3_3,22,2.905007,6,,,
3,WT,27C,c,4,3_4,22,3.751243,7,,,
3,WT,27C,s,5,3_5,22,1.24973,4,,,
3,WT,27C,s,86,3_86,22,,,,,
3,WT,27C,s,6,3_6,22,1.674515,5,,,
3,WT,27C,s,7,3_7,22,2.006443,4,,,
3,WT,27C,s,8,3_8,22,,,,,
3,WT,27C,c,9,3_9,22,,,,,
3,WT,27C,s,10,3_10,22,1.42262,3,,,
3,WT,27C,s,11,3_11,22,,,,,
3,WT,27C,s,12,3_12,22,1.355926,4,,,
3,WT,27C,s,13,3_13,22,,,,,
3,WT,27C,c,24,3_24,22,3.738417,6,,,
3,WT,27C,s,25,3_25,22,1.767116,4,,,
3,WT,27C,s,18,3_18,22,,,,,
3,WT,27C,s,17,3_17,22,,,,,
3,WT,27C,c,16,3_16,22,,,,,
3,WT,27C,c,14,3_14,22,,,,,
3,WT,27C,s,15,3_15,22,,,,,
3,WT,27C,c,19,3_19,22,,,,,
3,WT,27C,s,20,3_20,22,,,,,
3,WT,27C,s,21,3_21,22,,,,,
3,WT,27C,s,23,3_23,22,,,,,
3,WT,27C,s,32,3_32,22,,,,,
3,WT,27C,s,33,3_33,22,,,,,
3,WT,27C,s,34,3_34,22,,,,,
3,WT,27C,c,37,3_37,22,,,,,
3,WT,27C,s,35,3_35,22,,,,,
3,WT,27C,s,36,3_36,22,,,,,
3,WT,27C,s,38,3_38,22,,,,,
3,WT,27C,s,48,3_48,22,,,,,
3,WT,27C,s,49,3_49,22,,,,,
3,WT,27C,s,50,3_50,22,,,,,
3,WT,27C,s,51,3_51,22,,,,,
3,WT,27C,s,52,3_52,22,,,,,
3,WT,27C,s,67,3_67,22,,,,,
3,WT,27C,s,70,3_70,22,,,,,
3,WT,27C,s,69,3_69,22,,,,,
3,WT,27C,s,68,3_68,22,,,,,
3,WT,27C,s,71,3_71,22,,,,,
3,WT,27C,s,72,3_72,22,,,,,
3,WT,27C,c,73,3_73,22,,,,,
3,WT,27C,c,75,3_75,22,,,,,
3,WT,27C,s,76,3_76,22,,,,,
3,WT,27C,s,77,3_77,22,,,,,
3,WT,27C,s,78,3_78,22,,,,,
3,WT,27C,s,82,3_82,22,,,,,
3,WT,27C,s,83,3_83,22,,,,,
3,WT,27C,s,84,3_84,22,,,,,
3,WT,27C,c,85,3_85,22,,,,,
3,WT,27C,s,79,3_79,22,,,,,
3,WT,27C,s,80,3_80,22,,,,,
3,WT,27C,s,81,3_81,22,,,,,
3,WT,27C,s,28,3_28,28,2.103192,4,-10.4185665,0,1.938090651
3,WT,27C,s,64,3_64,28,1.529402,4,16.02657668,100,2.271177548
3,WT,27C,s,66,3_66,28,2.733333,6,10.60192407,100,2.271177548
3,WT,27C,s,22,3_22,28,3.319762,7,66.49031804,133.3333333,2.342516674
3,WT,27C,s,74,3_74,28,1.066737,2,5.830338036,100,2.271177548
3,WT,27C,s,83a,3_83a,28,0.514804,2,-10.04773653,100,2.271177548
3,WT,27C,s,26,3_26,28,2.116885,5,9.691288007,66.66666667,2.18577143
3,WT,27C,c,27,3_27,28,2.32228,5,-2.096946906,-16.66666667,1.845393378
3,WT,27C,c,29,3_29,28,3.94016,6,13.86626748,20,2.028222562
3,WT,27C,s,30,3_30,28,1.63605,3,-16.69954965,0,1.938090651
3,WT,27C,s,31,3_31,28,1.286878,3,-0.565447583,50,2.135813898
3,WT,27C,s,41,3_41,28,0.978786,3,-15.37941481,50,2.135813898
3,WT,27C,c,39,3_39,28,5.725516,10,-0.365334786,11.11111111,1.990451618
3,WT,27C,s,40,3_40,28,1.793519,5,-5.362189601,25,2.048108713
3,WT,27C,s,42,3_42,28,2.140321,5,-1.314715043,25,2.048108713
3,WT,27C,s,43,3_43,28,,,,,
3,WT,27C,s,44,3_44,28,3.888021,6,-0.026381785,50,2.135813898
3,WT,27C,s,45,3_45,28,,,,,
3,WT,27C,s,46,3_46,28,8.076761,7,12.33219213,75,2.208748387
3,WT,27C,s,47,3_47,28,2.499762,5,14.91605273,66.66666667,2.18577143
3,WT,27C,s,55,3_55,28,1.433025,2,23.89165159,0,1.938090651
3,WT,27C,s,53,3_53,28,1.613404,4,-5.350160712,33.33333333,2.079353551
3,WT,27C,s,54,3_54,28,,,,,
